trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,8,-31.189718559382435,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",25,8,5.923621400719623,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,6,14.935371768487764,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",25,12,-27.757249641648144,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,11,15.99258522441968,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",20,8,2.2191987192143134,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,14,12.134853005181208,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",25,18,14.92672585365198,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",25,15,-35.771579345151075,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,11,-6.481783541033819,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,14,11.07270425103194,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",25,18,12.9682895078221,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",20,0,28.31711935272861,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",25,19,10.624276215466136,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",30,23,9.595612400610586,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",30,19,19.64793086100503,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.07999999999999918}",20,8,5.710950985554993,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.07499999999999918}",30,16,26.533982607306672,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.06999999999999917}",25,15,-21.55022568475745,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.5, 'e': 0.06499999999999917}",25,12,25.307419811991405,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.05999999999999917}",20,14,11.540053861746225,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.054999999999999175}",30,17,24.393804690024144,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.04999999999999918}",30,21,16.835090378785672,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.04499999999999918}",25,15,16.242812174662156,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.03999999999999918}",25,11,-2.8220623436555314,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.034999999999999185}",25,20,10.871570123347961,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.029999999999999184}",20,15,-0.7998223217147395,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.024999999999999183}",25,8,32.77967154844254,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.01999999999999918}",20,11,14.710500016959188,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.01499999999999918}",25,7,31.200054883213163,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.00999999999999918}",30,17,25.18706221282807,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.00499999999999918}",25,20,11.627192084187818,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': -8.205242041370298e-16}",30,16,27.274623510820447,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,14,20.09769805555887,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,11,26.278285098672185,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,8.138597316184757,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,18.335465637169527,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,9,25.865742175621648,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,14.64123382254736,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,17,25.30483932594594,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,9.75443790143954,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,13.055798221714898,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,11,35.42022568199994,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,15,18.9339403069982,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,14,8.754922880180896,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,18,22.506464789347103,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,17,19.556686762114435,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,12,14.22744639810962,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,15,8.703116379326122,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,13,31.02966425762711,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,14,14.11926912926666,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,6,20.754821187228448,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,15,19.06803660941126,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
