trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,0,-153.8315193997985,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 4}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-38.69837376256007,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,6,-5.178655624652062,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,9,20.331619453774,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,0,10.4560866312822,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,15,8.543042321810267,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,2,-41.582045207963354,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,16,-2.9591675373329522,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,0,-88.84509358692645,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,4,15.485483942901114,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,0,-41.79544961819777,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,0,-1.3638641030652814,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",30,0,-103.2842012825818,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",30,3,-4.491067224827394,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",30,8,-35.19649679119109,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",30,13,-33.1410003218312,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,9,-5.336558300346021,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,-56.75142456280866,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",20,6,-6.737663857773838,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,15,5.56334472900887,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",25,18,3.0926356565928117,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,16,8.680774872196125,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,0,-31.298205744684267,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,13,12.054817231525815,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",30,20,-1.5008252354636342,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",30,9,2.0269047704845593,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,14,20.209781698625086,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",25,0,14.288280929269416,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",25,9,-38.47435939041589,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,4,10.946075331438685,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",35,20,9.52924058569581,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,1,-1.5957384299667245,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,0,-47.9155036104169,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,12,11.551073795749971,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",25,7,-13.851869808810278,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,20,11.396085344306481,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
